2018-12-11 21:31:59,447	INFO	Starting PWM...
2018-12-11 21:31:59,450	INFO	PWM Started Successfully
2018-12-11 21:31:59,451	INFO	Feeding...
2018-12-11 21:32:03,457	INFO	Done Feeding
2018-12-11 21:32:03,458	INFO	Stopping PWM
2018-12-11 21:32:03,460	INFO	PWM Stopped
2018-12-11 21:32:03,461	INFO	Feed Completed Successfully
2018-12-11 21:32:03,463	INFO	Cleaning Up, clearing pins
2018-12-14 07:14:34,877	INFO	Feeding for 1.0 seconds
2018-12-14 07:14:34,879	INFO	Starting Motor...
2018-12-14 07:14:34,881	INFO	Motor Started Successfully
2018-12-14 07:14:34,883	INFO	Starting PWM...
2018-12-14 07:14:34,885	INFO	PWM Started Successfully
2018-12-14 07:14:34,886	INFO	Feeding...
2018-12-14 07:14:35,889	INFO	Done Feeding
2018-12-14 07:14:35,891	INFO	Stopping PWM
2018-12-14 07:14:35,894	INFO	PWM Stopped
2018-12-14 07:14:35,896	INFO	Feed Completed Successfully
2018-12-14 07:14:35,898	INFO	Cleaning Up, clearing pins
2018-12-20 07:26:40,935	INFO	Feeding for 2.0 seconds
2018-12-20 07:26:40,937	INFO	Starting Motor...
2018-12-20 07:26:40,938	INFO	Motor Started Successfully
2018-12-20 07:26:40,939	INFO	Starting PWM...
2018-12-20 07:26:40,941	INFO	PWM Started Successfully
2018-12-20 07:26:40,943	INFO	Feeding...
2018-12-20 07:26:42,946	INFO	Done Feeding
2018-12-20 07:26:42,948	INFO	Stopping PWM
2018-12-20 07:26:42,949	INFO	PWM Stopped
2018-12-20 07:26:42,950	INFO	Feed Completed Successfully
2018-12-20 07:26:42,952	INFO	Cleaning Up, clearing pins
2018-12-21 20:11:58,016	INFO	Feeding for 8.0 seconds
2018-12-21 20:11:58,019	INFO	Starting Motor...
2018-12-21 20:11:58,021	INFO	Motor Started Successfully
2018-12-21 20:11:58,023	INFO	Starting PWM...
2018-12-21 20:11:58,026	INFO	PWM Started Successfully
2018-12-21 20:11:58,028	INFO	Feeding...
2018-12-21 20:12:06,038	INFO	Done Feeding
2018-12-21 20:12:06,040	INFO	Stopping PWM
2018-12-21 20:12:06,042	INFO	PWM Stopped
2018-12-21 20:12:06,045	INFO	Feed Completed Successfully
2018-12-21 20:12:06,047	INFO	Cleaning Up, clearing pins
2018-12-24 21:36:47,878	INFO	Feeding for 4.0 seconds
2018-12-24 21:36:47,880	INFO	Starting Motor...
2018-12-24 21:36:47,882	INFO	Motor Started Successfully
2018-12-24 21:36:47,884	INFO	Starting PWM...
2018-12-24 21:36:47,886	INFO	PWM Started Successfully
2018-12-24 21:36:47,888	INFO	Feeding...
2018-12-24 21:36:51,893	INFO	Done Feeding
2018-12-24 21:36:51,895	INFO	Stopping PWM
2018-12-24 21:36:51,897	INFO	PWM Stopped
2018-12-24 21:36:51,899	INFO	Feed Completed Successfully
2018-12-24 21:36:51,900	INFO	Cleaning Up, clearing pins
2018-12-27 21:50:01,016	INFO	Feeding for 2.0 seconds
2018-12-27 21:50:01,018	INFO	Starting Motor...
2018-12-27 21:50:01,020	INFO	Motor Started Successfully
2018-12-27 21:50:01,022	INFO	Starting PWM...
2018-12-27 21:50:01,024	INFO	PWM Started Successfully
2018-12-27 21:50:01,026	INFO	Feeding...
2018-12-27 21:50:03,029	INFO	Done Feeding
2018-12-27 21:50:03,031	INFO	Stopping PWM
2018-12-27 21:50:03,032	INFO	PWM Stopped
2018-12-27 21:50:03,034	INFO	Feed Completed Successfully
2018-12-27 21:50:03,035	INFO	Cleaning Up, clearing pins
2018-12-27 21:50:23,294	INFO	Feeding for 1.0 seconds
2018-12-27 21:50:23,296	INFO	Starting Motor...
2018-12-27 21:50:23,298	INFO	Motor Started Successfully
2018-12-27 21:50:23,300	INFO	Starting PWM...
2018-12-27 21:50:23,303	INFO	PWM Started Successfully
2018-12-27 21:50:23,305	INFO	Feeding...
2018-12-27 21:50:24,309	INFO	Done Feeding
2018-12-27 21:50:24,310	INFO	Stopping PWM
2018-12-27 21:50:24,311	INFO	PWM Stopped
2018-12-27 21:50:24,312	INFO	Feed Completed Successfully
2018-12-27 21:50:24,314	INFO	Cleaning Up, clearing pins
2018-12-29 08:51:40,259	INFO	Feeding for 2.0 seconds
2018-12-29 08:51:40,261	INFO	Starting Motor...
2018-12-29 08:51:40,263	INFO	Motor Started Successfully
2018-12-29 08:51:40,265	INFO	Starting PWM...
2018-12-29 08:51:40,267	INFO	PWM Started Successfully
2018-12-29 08:51:40,269	INFO	Feeding...
2018-12-29 08:51:42,273	INFO	Done Feeding
2018-12-29 08:51:42,275	INFO	Stopping PWM
2018-12-29 08:51:42,276	INFO	PWM Stopped
2018-12-29 08:51:42,278	INFO	Feed Completed Successfully
2018-12-29 08:51:42,280	INFO	Cleaning Up, clearing pins
2018-12-30 09:52:04,232	INFO	Feeding for 2.0 seconds
2018-12-30 09:52:04,234	INFO	Starting Motor...
2018-12-30 09:52:04,236	INFO	Motor Started Successfully
2018-12-30 09:52:04,238	INFO	Starting PWM...
2018-12-30 09:52:04,241	INFO	PWM Started Successfully
